Mumbai Indians - 1st innings,,,,,,,,,,,,
DJG Sammy,1,1,0,0,0,0,0,0,,1,2,50
YS Chahal,0,2,0,0,0,0,0,0,,2,2,100
"G Gambhir - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SA Abbott,1,3,0,0,1,0,1,0,,13,6,216.66
HV Patel,3,3,0,0,0,0,0,0,,3,6,50
VR Aaron,7,2,1,0,3,0,0,0,,16,13,123.07
AN Ahmed,2,5,0,0,1,0,0,0,,9,8,112.5
DJG Sammy,1,2,0,0,1,0,0,0,,6,4,150
YS Chahal,3,3,2,0,1,0,0,0,caught,11,9,122.22
"MK Pandey - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SA Abbott,0,1,0,0,2,0,0,0,,9,3,300
HV Patel,1,0,0,0,0,0,0,0,,0,1,0
VR Aaron,0,1,0,0,1,0,0,0,,5,2,250
AN Ahmed,1,0,0,0,0,0,0,0,,0,1,0
YS Chahal,3,3,1,0,1,0,0,0,,9,8,112.5
"SA Yadav - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SA Abbott,1,1,0,0,1,0,0,0,,5,3,166.66
HV Patel,1,0,0,0,0,0,0,0,caught,0,1,0
YS Chahal,2,2,0,0,1,0,0,0,,6,5,120
"YK Pathan - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
HV Patel,0,2,0,0,0,0,0,0,,2,2,100
VR Aaron,1,0,0,0,0,0,0,0,caught,0,1,0
AN Ahmed,0,1,0,0,0,0,0,0,,1,1,100
"AD Russell - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
HV Patel,3,1,1,0,2,0,1,0,,17,8,212.5
VR Aaron,0,1,0,0,3,0,0,0,,13,4,325
AN Ahmed,2,1,0,0,1,0,1,0,,11,5,220
"Shakib Al Hasan - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
VR Aaron,1,0,0,0,0,0,0,0,,0,1,0
Royal Challengers Bangalore - 2nd innings,,,,,,,,,,,,
"CH Gayle - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
